Fund Name,Category,Inception Date,Class,Type,Offer,Repurchase,NAV,Validity Date,"Front-end Load %","Back-end Load %","Contingent Load %",Trustee Code
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,116.8818,113.6706,113.6706,2016-11-09,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,118.3057,115.0554,115.0554,2016-11-10,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,118.6501,115.3903,115.3903,2016-11-11,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,117.5963,114.3655,114.3655,2016-11-14,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,116.8675,113.6567,113.6567,2016-11-15,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,117.1403,113.922,113.922,2016-11-16,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,117.416,114.1901,114.1901,2016-11-17,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,117.0494,113.8336,113.8336,2016-11-18,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,117.4421,114.2155,114.2155,2016-11-21,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,118.1261,114.8807,114.8807,2016-11-22,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-.1,113.3226,110.2092,110.2092.1,2016-09-01,-.2,-.3,-.4,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,119.8048,116.5133,116.5133,2016-11-25,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,119.8952,116.6012,116.6012,2016-11-28,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,118.8459,115.5807,115.5807,2016-11-29,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,118.0499,114.8066,114.8066,2016-11-30,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,119.0581,115.7871,115.7871,2016-12-01,-,-,-,CDC
HBL Stock Fund,Equity,"Aug 23, 2007",-,-,120.0651,116.7664,116.7664,2016-12-02,-,-,-,CDC
